Syscall,Input,Output,Error Codes,Description
open,"pathname (rdi), flags (rsi), mode (rdx)",file descriptor (rax) or -1,"EACCES, ENOENT, EISDIR, ENFILE, EMFILE, EROFS","Opens a file and returns a file descriptor."
read,"file descriptor (rdi), buffer (rsi), count (rdx)",bytes read (rax) or -1,"EBADF, EFAULT, EINVAL, EIO, EISDIR","Reads data from a file descriptor into a buffer."
write,"file descriptor (rdi), buffer (rsi), count (rdx)",bytes written (rax) or -1,"EBADF, EFAULT, EINVAL, ENOSPC, EIO","Writes data from a buffer to a file descriptor."
close,"file descriptor (rdi)",0 on success or -1,"EBADF","Closes a file descriptor."
mmap,"address (rdi), length (rsi), prot (rdx), flags (r10), fd (r8), offset (r9)",mapped address (rax) or -1,"EINVAL, EACCES, ENOMEM","Maps a file or device into memory."
munmap,"address (rdi), length (rsi)",0 on success or -1,"EINVAL, EFAULT","Unmaps a region of memory."
fork,"none",0 in child or PID of child in parent,"EAGAIN, ENOMEM","Creates a new process by duplicating the calling process."
execve,"filename (rdi), argv (rsi), envp (rdx)",does not return on success or -1,"EACCES, ENOENT, E2BIG, ENOMEM, EFAULT","Replaces the current process image with a new program."
exit,"exit code (rdi)",never returns,"none","Terminates the calling process."
waitpid,"pid (rdi), status (rsi), options (rdx)",PID of terminated child or -1,"ECHILD, EINVAL, EINTR","Waits for a child process to terminate."
stat,"pathname (rdi), stat buffer (rsi)",0 on success or -1,"ENOENT, EFAULT, ENOTDIR, EACCES","Gets file status information."
fstat,"file descriptor (rdi), stat buffer (rsi)",0 on success or -1,"EBADF, EFAULT","Gets file status using a file descriptor."
lseek,"file descriptor (rdi), offset (rsi), whence (rdx)",new offset (rax) or -1,"EBADF, EINVAL, EOVERFLOW","Moves the file offset of an open file."
getpid,"none",PID of the calling process,"none","Gets the process ID of the calling process."
kill,"PID (rdi), signal (rsi)",0 on success or -1,"ESRCH, EPERM, EINVAL","Sends a signal to a process or group of processes."
brk,"new program break (rdi)",0 on success or -1,"ENOMEM, EINVAL","Adjusts the program's data segment size."
ioctl,"file descriptor (rdi), request (rsi), argp (rdx)",0 on success or -1,"EBADF, EFAULT, EINVAL, ENOTTY","Performs device-specific operations."
socket,"domain (rdi), type (rsi), protocol (rdx)",file descriptor (rax) or -1,"EACCES, EMFILE, ENOBUFS, EPROTONOSUPPORT","Creates a new socket."
connect,"socket fd (rdi), address (rsi), addrlen (rdx)",0 on success or -1,"EISCONN, ECONNREFUSED, EINVAL, ENETUNREACH","Connects a socket to a remote address."
accept,"socket fd (rdi), address (rsi), addrlen (rdx)",new socket fd (rax) or -1,"EAGAIN, EINVAL, EMFILE, ENOBUFS","Accepts a connection on a socket."
chdir,"pathname (rdi)",0 on success or -1,"ENOENT, EACCES, ENOTDIR, EFAULT","Changes the current working directory."
chmod,"pathname (rdi), mode (rsi)",0 on success or -1,"EACCES, ENOENT, ENOTDIR, EFAULT","Changes the permissions of a file."
unlink,"pathname (rdi)",0 on success or -1,"EACCES, EBUSY, ENOENT, EISDIR","Deletes a name from the filesystem (removes a file)."
rmdir,"pathname (rdi)",0 on success or -1,"EACCES, ENOTEMPTY, ENOENT, ENOTDIR","Removes a directory."
getcwd,"buffer (rdi), size (rsi)",buffer address (rax) or -1,"EFAULT, ERANGE","Gets the current working directory."
dup,"file descriptor (rdi)",new file descriptor (rax) or -1,"EBADF, EMFILE","Duplicates an existing file descriptor."
dup2,"old fd (rdi), new fd (rsi)",new fd (rax) or -1,"EBADF, EBUSY, EMFILE","Duplicates an fd to a specified new fd."
readdir,"directory fd (rdi), buffer (rsi), count (rdx)",bytes read (rax) or -1,"EBADF, EFAULT, EINVAL","Reads directory entries."
rename,"oldpath (rdi), newpath (rsi)",0 on success or -1,"EACCES, ENOENT, EXDEV, EISDIR","Renames a file or directory."
fchmod,"file descriptor (rdi), mode (rsi)",0 on success or -1,"EBADF, EINVAL, EFAULT","Changes permissions of a file by fd."
mkdir,"pathname (rdi), mode (rsi)",0 on success or -1,"EACCES, EEXIST, ENOENT, ENOTDIR","Creates a new directory."
pipe,"array (rdi)",0 on success or -1,"EFAULT, EMFILE, ENFILE","Creates a pair of file descriptors for interprocess communication."
poll,"fds (rdi), nfds (rsi), timeout (rdx)",number of fds with events (rax) or -1,"EFAULT, EINTR, EINVAL","Monitors multiple file descriptors for events."
getuid,"none",user ID of the calling process,"none","Gets the user ID of the calling process."
geteuid,"none",effective user ID of the calling process,"none","Gets the effective user ID of the calling process."
